order_date,region,category,channel,quantity,unit_price,revenue
2022-01-01,North,Food,Retail,23,139.67,4340.31
2022-02-01,West,Clothing,Retail,7,36.55,1552.73
2022-03-01,East,Clothing,Retail,34,47.98,762.36
2022-04-01,South,Food,Online,24,11.4,1766.23
2022-05-01,South,Clothing,Online,17,159.52,1821.17
2022-06-01,West,Clothing,Online,12,136.32,3478.62
2022-07-01,North,Clothing,Online,28,143.98,3006.64
2022-08-01,East,Electronics,Online,33,158.34,4027.54
2022-09-01,North,Electronics,Retail,47,97.19,3489.41
2022-10-01,North,Clothing,Online,22,118.06,2328.74
2022-11-01,East,Food,Retail,8,36.56,4163.09
2022-12-01,West,Electronics,Retail,41,31.76,1251.38
2023-01-01,East,Food,Retail,31,137.0,602.2
2023-02-01,West,Food,Retail,35,99.51,905.22
2023-03-01,East,Electronics,Online,5,117.39,3750.62
2023-04-01,West,Clothing,Retail,16,155.35,2578.45
2023-05-01,East,Electronics,Online,38,130.6,1225.72
2023-06-01,North,Food,Online,41,115.18,2754.7
2023-07-01,West,Food,Retail,22,116.25,1185.4
2023-08-01,South,Clothing,Online,40,67.75,3633.44
2023-09-01,East,Electronics,Online,42,15.86,2507.7
2023-10-01,South,Food,Online,19,92.98,2214.6
2023-11-01,North,Clothing,Retail,45,50.77,1856.8
2023-12-01,West,Food,Online,15,87.62,3336.27
